ZONA, NUMERACION_INICIAL, NUMERACION_FINAL, OCUPACION, MODALIDAD, RAZON_SOCIAL, FECHA_ASIGNACION
4,4642080000,4642089999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4642090000,4642094999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712675000,9712679999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712680000,9712689999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712690000,9712694999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8445560000,8445569999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8445570000,8445579999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4661880000,4661889999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4661890000,4661899999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2941933000,2941939999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414300000,3414301999,2000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",03/05/2000,
2,2941940000,2941949999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2941950000,2941952999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9672100000,9672109999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9672110000,9672119999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4281490000,4281499999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4281500000,4281509999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4761610000,4761619999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4761620000,4761629999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6646302000,6646303999,2000,FIJO,"TELEFONOS DEL NOROESTE, S.A. DE C.V.",31/12/1995,
6,6243125000,6243129999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414302000,3414305999,4000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",13/09/2000,
6,6243220000,6243229999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6243230000,6243234999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4191533000,4191539999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4191570000,4191579999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4191580000,4191582999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2871805000,2871809999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2871850000,2871859999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2871860000,2871864999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3951450000,3951459999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3951460000,3951469999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4272320000,4272329999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414324000,3414324999,1000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",02/12/1999,
4,4272330000,4272339999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4446485000,4446489999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4446730000,4446739999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4446740000,4446744999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4151945000,4151949999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4151990000,4151999999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4152000000,4152004999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9581728000,9581729999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9581750000,9581759999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9581760000,9581767999,8000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414325000,3414325999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",05/07/1999,
6,6481440000,6481449999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6481450000,6481459999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4428575000,4428579999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4428820000,4428829999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4428830000,4428834999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712695000,9712699999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712700000,9712709999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4721786000,4721789999,4000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4721810000,4721819999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414326000,3414327999,2000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",05/07/1999,
4,4721820000,4721825999,6000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8335605000,8335609999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8335630000,8335639999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8335640000,8335644999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9622463000,9622469999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
